Source ID,Source title,Source domain,Source hub,Source topic,Target ID,Target title,Target domain,Target hub,Target topic,#Overlapping Titles,Jaccard
1284530,TEH: Dawn of the Keiko Deities Wikia,teh-dawn-of-the-keiko-deities.wikia.com,Lifestyle,Fanon,1398506,Nikara Wikia,nikaraworld.wikia.com,Comics,Fanon,155,0.410053
7936,Austrian Economics Wiki,austrianeconomics.wikia.com,Lifestyle,Finance,141564,Prepaid Data SIM Card Wiki,prepaid-data-sim-card.wikia.com,Lifestyle,Technology,184,0.407982
6062,MUSCLEpedia,muscle.wikia.com,Lifestyle,Toys,8371,Texas Rangers Wiki,texasrangers.wikia.com,Lifestyle,Sports,94,0.388430
19651,Mohammopedia Wiki,mohammopedia.wikia.com,Lifestyle,Creative,141564,Prepaid Data SIM Card Wiki,prepaid-data-sim-card.wikia.com,Lifestyle,Technology,170,0.317164
891,The BIONICLE Wiki,bionicle.wikia.com,Movies,Toys,12289,Bionicle Reviews Wiki,bioniclereviews.wikia.com,Movies,Toys,767,0.291857
7936,Austrian Economics Wiki,austrianeconomics.wikia.com,Lifestyle,Finance,19651,Mohammopedia Wiki,mohammopedia.wikia.com,Lifestyle,Creative,171,0.284053
840,SW1ki,sw1mush.wikia.com,Games,Gaming,11911,Star Wars Mush Wiki,starwarsmush.wikia.com,Games,Gaming,1183,0.258466
2361,Public Diplomacy,publicdiplomacy.wikia.com,Lifestyle,Politics,7936,Austrian Economics Wiki,austrianeconomics.wikia.com,Lifestyle,Finance,182,0.257062
2361,Public Diplomacy,publicdiplomacy.wikia.com,Lifestyle,Politics,141564,Prepaid Data SIM Card Wiki,prepaid-data-sim-card.wikia.com,Lifestyle,Technology,166,0.252664
4409,Globalvoicesonline Wiki,globalvoicesonline.wikia.com,Lifestyle,Lifestyle,141564,Prepaid Data SIM Card Wiki,prepaid-data-sim-card.wikia.com,Lifestyle,Technology,145,0.252174
44732,Minecraft Wiki,minecraft.wikia.com,Games,Gaming,427912,Minecraft Pocket Edition Wiki,minecraftpocketedition.wikia.com,Games,Gaming,446,0.246955
427912,Minecraft Pocket Edition Wiki,minecraftpocketedition.wikia.com,Games,Gaming,689570,Minecraft PC Wiki,minecraftpc.wikia.com,Games,Video Games,321,0.245977
