Source ID,Source title,Source domain,Source hub,Source topic,Target ID,Target title,Target domain,Target hub,Target topic,#Overlapping Titles,Jaccard
2237,DC Database,dc.wikia.com,Comics,Lifestyle,330278,Hey Kids Comics Wiki,heykidscomics.wikia.com,Comics,Entertainment,54546,0.232945
304,RuneScape Wiki,runescape.wikia.com,Games,Gaming,691244,Old School RuneScape Wiki,oldschoolrunescape.wikia.com,Games,Gaming,22327,0.107469
304,RuneScape Wiki,runescape.wikia.com,Games,Gaming,1267847,DarkScape Wiki,darkscape.wikia.com,Games,Gaming,19223,0.101176
2233,Marvel Database,marvel.wikia.com,Comics,Comics,330278,Hey Kids Comics Wiki,heykidscomics.wikia.com,Comics,Entertainment,16575,0.084051
113,Memory Alpha,memory-alpha.wikia.com,TV,Entertainment,323,"Memory Beta, non-canon Star Trek Wiki",memory-beta.wikia.com,Books,Entertainment,13979,0.126658
691244,Old School RuneScape Wiki,oldschoolrunescape.wikia.com,Games,Gaming,1267847,DarkScape Wiki,darkscape.wikia.com,Games,Gaming,8632,0.167621
174,Final Fantasy Wiki,finalfantasy.wikia.com,Games,Gaming,1657,FFXIclopedia,ffxiclopedia.wikia.com,Games,Gaming,7119,0.088232
7857,Vocaloid Wiki,vocaloid.wikia.com,Music,Music,22782,Vocaloid Lyrics Wiki,vocaloidlyrics.wikia.com,Music,Music,6005,0.169088
147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,644,Star Wars Fanon,swfanon.wikia.com,Movies,Entertainment,5203,0.021707
10505,The Mighty Thor,mightythor.wikia.com,Comics,Movies,330278,Hey Kids Comics Wiki,heykidscomics.wikia.com,Comics,Entertainment,4663,0.028353
113,Memory Alpha,memory-alpha.wikia.com,TV,Entertainment,147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,4465,0.017574
425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,2020,Wikiality,wikiality.wikia.com,TV,Humor,4405,0.078472
323,"Memory Beta, non-canon Star Trek Wiki",memory-beta.wikia.com,Books,Entertainment,745,Star Trek Expanded Universe,stexpanded.wikia.com,TV,Entertainment,4395,0.058115
304,RuneScape Wiki,runescape.wikia.com,Games,Gaming,17200,RuneScape Classic Wiki,runescapeclassic.wikia.com,Games,Gaming,4037,0.021155
113,Memory Alpha,memory-alpha.wikia.com,TV,Entertainment,425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,4025,0.040658
425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,2717,Wackypedia,wackypedia.wikia.com,Lifestyle,Humor,3606,0.072975
147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,304,RuneScape Wiki,runescape.wikia.com,Games,Gaming,3495,0.009132
113,Memory Alpha,memory-alpha.wikia.com,TV,Entertainment,745,Star Trek Expanded Universe,stexpanded.wikia.com,TV,Entertainment,3419,0.044967
147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,323,"Memory Beta, non-canon Star Trek Wiki",memory-beta.wikia.com,Books,Entertainment,3376,0.013201
2446,Image Comics Database,imagecomics.wikia.com,Comics,Comics,330278,Hey Kids Comics Wiki,heykidscomics.wikia.com,Comics,Entertainment,3357,0.020570
147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,3146,0.013408
304,RuneScape Wiki,runescape.wikia.com,Games,Gaming,425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,3125,0.013731
1763,Ice Hockey Wiki,icehockey.wikia.com,Lifestyle,Sports,171203,International Hockey Wiki,internationalhockey.wikia.com,Lifestyle,Sports,3070,0.039187
2237,DC Database,dc.wikia.com,Comics,Lifestyle,155784,Dc Microheroes Wiki,dc-microheroes.wikia.com,Comics,Creative,2923,0.021938
1318,Narutopedia,naruto.wikia.com,Comics,Anime,3156,Naruto Fanon Wiki,narutofanon.wikia.com,Comics,Entertainment,2870,0.053863
323,"Memory Beta, non-canon Star Trek Wiki",memory-beta.wikia.com,Books,Entertainment,425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,2846,0.028250
17200,RuneScape Classic Wiki,runescapeclassic.wikia.com,Games,Gaming,691244,Old School RuneScape Wiki,oldschoolrunescape.wikia.com,Games,Gaming,2774,0.064513
147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,2237,DC Database,dc.wikia.com,Comics,Lifestyle,2754,0.008492
304,RuneScape Wiki,runescape.wikia.com,Games,Gaming,490,WoWWiki,wowwiki.wikia.com,Games,Video Games,2733,0.009363
113,Memory Alpha,memory-alpha.wikia.com,TV,Entertainment,304,RuneScape Wiki,runescape.wikia.com,Games,Gaming,2728,0.010967
113,Memory Alpha,memory-alpha.wikia.com,TV,Entertainment,2237,DC Database,dc.wikia.com,Comics,Lifestyle,2727,0.014385
425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,509,Harry Potter Wiki,harrypotter.wikia.com,Books,Movies,2726,0.043386
425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,831,Muppet Wiki,muppet.wikia.com,TV,Movies,2706,0.032445
2233,Marvel Database,marvel.wikia.com,Comics,Comics,10505,The Mighty Thor,mightythor.wikia.com,Comics,Movies,2695,0.042355
147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,10178,Star Wars: The Old Republic Wiki,swtor.wikia.com,Games,Gaming,2622,0.013182
113,Memory Alpha,memory-alpha.wikia.com,TV,Entertainment,125,Tardis,tardis.wikia.com,TV,Comics,2609,0.027997
159,The One Wiki to Rule Them All,lotr.wikia.com,Books,Movies,8990,The Notion Club Archive,merp.wikia.com,Games,Gaming,2536,0.109150
425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,7201,Liberapedia,liberapedia.wikia.com,Lifestyle,Politics,2524,0.057924
2233,Marvel Database,marvel.wikia.com,Comics,Comics,2237,DC Database,dc.wikia.com,Comics,Lifestyle,2472,0.013477
425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,2237,DC Database,dc.wikia.com,Comics,Lifestyle,2468,0.014597
147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,1231,Alien Species,aliens.wikia.com,Books,Entertainment,2418,0.011888
125,Tardis,tardis.wikia.com,TV,Comics,425,Uncyclopedia,uncyclopedia.wikia.com,Lifestyle,Humor,2377,0.032713
374,Disney Wiki,disney.wikia.com,Movies,TV,330278,Hey Kids Comics Wiki,heykidscomics.wikia.com,Comics,Entertainment,2336,0.013697
2237,DC Database,dc.wikia.com,Comics,Lifestyle,4866,SuperFriends Wiki,superfriends.wikia.com,TV,Entertainment,2268,0.016629
147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,2369,Star Wars Games,swgames.wikia.com,Games,Gaming,2242,0.011348
147,Wookieepedia,starwars.wikia.com,Movies,Entertainment,490,WoWWiki,wowwiki.wikia.com,Games,Video Games,2209,0.007376
113,Memory Alpha,memory-alpha.wikia.com,TV,Entertainment,330278,Hey Kids Comics Wiki,heykidscomics.wikia.com,Comics,Entertainment,2191,0.010051
